epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3935,3.09514,5.35633,4.1215,0.93825,0.01235,0.00695,0.00184,2.6297,3.99709,3.63784,0.00017454,0.00017454,0.00017454
2,101.567,2.61618,4.55554,3.25825,0.19192,0.26699,0.07428,0.03486,1.86257,3.72585,2.53471,0.00034641,0.00034641,0.00034641
3,149.93,1.74784,3.49113,2.26974,0.29005,0.3848,0.1451,0.10105,1.49087,2.64801,2.01777,0.000514808,0.000514808,0.000514808
4,198.151,1.37412,2.85843,1.7965,0.14319,0.4373,0.16719,0.12886,1.18026,2.3491,1.6054,0.000510378,0.000510378,0.000510378
5,246.225,1.18412,2.43139,1.55429,0.25573,0.51986,0.22209,0.17354,1.06298,2.06191,1.49025,0.00050517,0.00050517,0.00050517
6,294.479,1.05999,2.2042,1.44106,0.19865,0.506,0.23923,0.19329,0.93755,2.01662,1.33934,0.000499963,0.000499963,0.000499963
7,342.45,1.0223,2.05345,1.3977,0.24893,0.48764,0.28707,0.2305,0.89302,1.79258,1.28511,0.000494756,0.000494756,0.000494756
8,390.396,0.96885,1.94497,1.34361,0.24773,0.4762,0.28878,0.22502,0.89709,1.80518,1.28057,0.000489548,0.000489548,0.000489548
9,438.993,0.9382,1.89292,1.30782,0.34547,0.45531,0.33573,0.26988,0.83657,1.6567,1.23508,0.000484341,0.000484341,0.000484341
10,487.024,0.89391,1.78062,1.27801,0.33851,0.45922,0.36333,0.2871,0.81418,1.61285,1.20693,0.000479133,0.000479133,0.000479133
11,535.389,0.88573,1.72544,1.25669,0.37548,0.51562,0.40268,0.32483,0.81141,1.5031,1.18291,0.000473926,0.000473926,0.000473926
12,583.286,0.84461,1.6613,1.22865,0.43212,0.52893,0.44564,0.36081,0.79071,1.41251,1.18265,0.000468719,0.000468719,0.000468719
13,638.316,0.85418,1.60428,1.23034,0.39944,0.53067,0.47186,0.37982,0.85217,1.39073,1.21158,0.000463511,0.000463511,0.000463511
14,686.246,0.82601,1.54986,1.21454,0.5815,0.52743,0.55279,0.45408,0.74988,1.24897,1.13641,0.000458304,0.000458304,0.000458304
15,734.357,0.82392,1.47914,1.20821,0.53808,0.61512,0.58478,0.48561,0.73844,1.20624,1.12547,0.000453096,0.000453096,0.000453096
16,782.322,0.79906,1.42343,1.18685,0.57853,0.65689,0.67515,0.5653,0.72483,1.05543,1.11838,0.000447889,0.000447889,0.000447889
17,830.448,0.78879,1.36744,1.17452,0.6158,0.66231,0.7001,0.58516,0.74636,1.03311,1.12551,0.000442682,0.000442682,0.000442682
18,878.513,0.77475,1.29986,1.16388,0.76891,0.62294,0.72689,0.61211,0.75246,0.99595,1.11225,0.000437474,0.000437474,0.000437474
19,926.932,0.77196,1.25156,1.16082,0.75867,0.66743,0.75093,0.62738,0.72703,0.88385,1.10064,0.000432267,0.000432267,0.000432267
20,975.3,0.76482,1.23587,1.15718,0.83487,0.64395,0.75411,0.63039,0.73522,0.86808,1.11124,0.000427059,0.000427059,0.000427059
21,1023.25,0.75882,1.22627,1.14335,0.78828,0.71389,0.78639,0.6628,0.72023,0.8465,1.09556,0.000421852,0.000421852,0.000421852
22,1071.17,0.75028,1.15587,1.14317,0.83905,0.68526,0.78707,0.66589,0.69907,0.82247,1.07987,0.000416645,0.000416645,0.000416645
23,1119.21,0.74932,1.14015,1.13881,0.8244,0.72928,0.80994,0.68657,0.70306,0.79319,1.08086,0.000411437,0.000411437,0.000411437
24,1167.1,0.73396,1.12323,1.1317,0.86463,0.74423,0.8307,0.70592,0.69432,0.7566,1.06897,0.00040623,0.00040623,0.00040623
25,1215.12,0.73654,1.08464,1.12653,0.81383,0.71856,0.80254,0.6827,0.68487,0.76714,1.07224,0.000401022,0.000401022,0.000401022
26,1263.16,0.73622,1.07916,1.12199,0.85851,0.75158,0.83924,0.71776,0.68493,0.70697,1.05903,0.000395815,0.000395815,0.000395815
27,1310.82,0.72169,1.03837,1.11106,0.87513,0.76027,0.83796,0.71511,0.6786,0.71681,1.05306,0.000390608,0.000390608,0.000390608
28,1358.57,0.71203,1.01189,1.10144,0.88595,0.76231,0.85506,0.72039,0.68938,0.68586,1.07112,0.0003854,0.0003854,0.0003854
29,1406.73,0.70924,1.01315,1.0981,0.90567,0.76031,0.84979,0.72591,0.66277,0.67459,1.04043,0.000380193,0.000380193,0.000380193
30,1454.65,0.70789,0.97832,1.0961,0.89524,0.7725,0.86201,0.72992,0.68827,0.66763,1.0568,0.000374985,0.000374985,0.000374985
31,1502.58,0.7029,0.97275,1.09472,0.93156,0.74612,0.86263,0.73811,0.65073,0.64611,1.03785,0.000369778,0.000369778,0.000369778
32,1550.39,0.69469,0.96822,1.09281,0.89321,0.79212,0.86288,0.73254,0.66935,0.63701,1.04015,0.000364571,0.000364571,0.000364571
33,1598.21,0.69116,0.94572,1.08983,0.88321,0.78312,0.86895,0.736,0.661,0.62875,1.03484,0.000359363,0.000359363,0.000359363
34,1645.95,0.67265,0.91658,1.08121,0.9076,0.78052,0.8686,0.74431,0.65633,0.62787,1.03876,0.000354156,0.000354156,0.000354156
35,1693.98,0.66875,0.89359,1.07591,0.92288,0.79588,0.88526,0.75554,0.64421,0.60037,1.02316,0.000348948,0.000348948,0.000348948
36,1749.78,0.67669,0.90112,1.07722,0.9233,0.77353,0.88101,0.75176,0.6605,0.59547,1.0394,0.000343741,0.000343741,0.000343741
37,1797.73,0.66025,0.88279,1.06972,0.91133,0.81737,0.89164,0.75661,0.67084,0.59278,1.04696,0.000338534,0.000338534,0.000338534
38,1845.59,0.66413,0.8611,1.07173,0.9159,0.78963,0.88603,0.75755,0.64914,0.58985,1.02999,0.000333326,0.000333326,0.000333326
39,1893.44,0.66037,0.86507,1.06226,0.89465,0.81255,0.88685,0.75304,0.6598,0.58796,1.02715,0.000328119,0.000328119,0.000328119
40,1941.65,0.6529,0.84997,1.05566,0.87943,0.8269,0.89338,0.75435,0.64007,0.56487,1.02388,0.000322911,0.000322911,0.000322911
41,1989.63,0.65089,0.82708,1.06175,0.90911,0.80385,0.88498,0.75612,0.63842,0.58354,1.02139,0.000317704,0.000317704,0.000317704
42,2037.38,0.64745,0.82208,1.05936,0.93899,0.80095,0.89675,0.76194,0.65571,0.55285,1.02799,0.000312497,0.000312497,0.000312497
43,2085.52,0.64106,0.82057,1.05404,0.89987,0.83404,0.90131,0.76823,0.63983,0.53868,1.01409,0.000307289,0.000307289,0.000307289
44,2133.63,0.63875,0.82769,1.05785,0.90696,0.82802,0.90419,0.77063,0.63742,0.53354,1.01368,0.000302082,0.000302082,0.000302082
45,2181.49,0.63799,0.81915,1.05122,0.9162,0.83209,0.90673,0.77436,0.63309,0.5194,1.01316,0.000296874,0.000296874,0.000296874
46,2229.47,0.63511,0.79952,1.04939,0.94238,0.80434,0.90279,0.76792,0.63101,0.539,1.01374,0.000291667,0.000291667,0.000291667
47,2277.39,0.63901,0.80152,1.05388,0.93957,0.81282,0.906,0.77336,0.63257,0.52933,1.00899,0.00028646,0.00028646,0.00028646
48,2325.31,0.62841,0.79224,1.04609,0.92245,0.83792,0.91223,0.78081,0.62528,0.50959,1.00701,0.000281252,0.000281252,0.000281252
49,2373.58,0.631,0.78914,1.04681,0.89949,0.84107,0.91148,0.77322,0.63513,0.52556,1.0119,0.000276045,0.000276045,0.000276045
50,2421.43,0.62458,0.77294,1.04672,0.92797,0.85065,0.91636,0.78298,0.62197,0.50379,1.00609,0.000270837,0.000270837,0.000270837
51,2469.53,0.62761,0.7712,1.04692,0.93846,0.83392,0.91353,0.77777,0.63736,0.50535,1.00893,0.00026563,0.00026563,0.00026563
52,2517.34,0.61123,0.76198,1.0415,0.93958,0.837,0.91886,0.78048,0.62666,0.49462,1.00349,0.000260423,0.000260423,0.000260423
53,2565.19,0.60938,0.7345,1.03794,0.91689,0.85636,0.9175,0.78011,0.62747,0.49002,1.00498,0.000255215,0.000255215,0.000255215
54,2613.1,0.61462,0.74602,1.03616,0.94254,0.83956,0.92165,0.78484,0.62493,0.48711,1.00505,0.000250008,0.000250008,0.000250008
55,2661.06,0.60873,0.75488,1.03565,0.91909,0.85375,0.92191,0.78337,0.62121,0.47697,1.00605,0.0002448,0.0002448,0.0002448
56,2708.82,0.60526,0.7426,1.03328,0.95111,0.84461,0.92516,0.79135,0.61963,0.46821,1.00605,0.000239593,0.000239593,0.000239593
57,2756.82,0.60632,0.72199,1.03022,0.95882,0.83769,0.92944,0.79622,0.61515,0.46622,0.99526,0.000234386,0.000234386,0.000234386
58,2804.69,0.60031,0.72653,1.02897,0.93481,0.85543,0.93087,0.79277,0.6143,0.47381,0.99511,0.000229178,0.000229178,0.000229178
59,2852.9,0.59291,0.70732,1.02436,0.93439,0.85131,0.92775,0.79109,0.61231,0.46369,0.99958,0.000223971,0.000223971,0.000223971
