epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5549,3.08593,5.35163,4.14167,0.93523,0.02822,0.02037,0.00463,2.67221,4.14293,3.77484,0.00017454,0.00017454,0.00017454
2,110.77,2.56356,4.53052,3.21142,0.22152,0.16268,0.08062,0.04273,1.75366,3.14462,2.3867,0.00034641,0.00034641,0.00034641
3,159.969,1.73506,3.46632,2.22632,0.16612,0.22249,0.13501,0.09256,1.38179,2.60959,1.88253,0.000514808,0.000514808,0.000514808
4,209.015,1.38899,2.9205,1.79515,0.21757,0.37897,0.17729,0.12413,1.174,2.28864,1.60943,0.000510378,0.000510378,0.000510378
5,257.743,1.19751,2.51712,1.57425,0.24527,0.53126,0.20127,0.15871,1.06156,2.11679,1.47871,0.00050517,0.00050517,0.00050517
6,306.06,1.08077,2.292,1.46289,0.2144,0.49982,0.22355,0.17661,0.97863,1.97311,1.37965,0.000499963,0.000499963,0.000499963
7,354.629,1.03227,2.12985,1.40253,0.20333,0.481,0.24435,0.19024,0.95491,1.91077,1.34965,0.000494756,0.000494756,0.000494756
8,403.255,0.98957,2.019,1.36076,0.2482,0.49184,0.2872,0.22248,0.89547,1.7821,1.28221,0.000489548,0.000489548,0.000489548
9,451.9,0.94501,1.95405,1.31949,0.27553,0.4898,0.30639,0.24362,0.85676,1.70929,1.24955,0.000484341,0.000484341,0.000484341
10,500.239,0.91561,1.84486,1.29528,0.35434,0.45445,0.33915,0.26473,0.83997,1.6404,1.2255,0.000479133,0.000479133,0.000479133
11,548.782,0.88991,1.7659,1.26437,0.33806,0.48466,0.40713,0.32905,0.8277,1.55996,1.20881,0.000473926,0.000473926,0.000473926
12,597.368,0.86689,1.70719,1.24449,0.37156,0.49303,0.41888,0.33307,0.81839,1.48472,1.1952,0.000468719,0.000468719,0.000468719
13,645.923,0.86222,1.63651,1.23282,0.43606,0.48765,0.45487,0.35674,0.87878,1.45248,1.24466,0.000463511,0.000463511,0.000463511
14,694.995,0.83626,1.58495,1.21755,0.50832,0.54127,0.52005,0.42705,0.76183,1.31339,1.14746,0.000458304,0.000458304,0.000458304
15,743.645,0.82881,1.52267,1.21075,0.57448,0.52024,0.57452,0.47801,0.75566,1.25613,1.14774,0.000453096,0.000453096,0.000453096
16,791.916,0.79723,1.45756,1.18154,0.57553,0.62206,0.62927,0.52481,0.74168,1.13141,1.12757,0.000447889,0.000447889,0.000447889
17,840.373,0.79342,1.40679,1.17662,0.75283,0.56537,0.66591,0.553,0.76079,1.0641,1.13447,0.000442682,0.000442682,0.000442682
18,888.727,0.78229,1.35603,1.16667,0.67751,0.60843,0.66123,0.55501,0.72599,1.05525,1.10771,0.000437474,0.000437474,0.000437474
19,937.098,0.76835,1.29479,1.15959,0.71984,0.65797,0.72152,0.59653,0.74908,0.94332,1.11276,0.000432267,0.000432267,0.000432267
20,985.381,0.76247,1.2556,1.15749,0.74231,0.65451,0.72548,0.6096,0.72481,0.93398,1.10999,0.000427059,0.000427059,0.000427059
21,1033.59,0.76325,1.25781,1.1494,0.75301,0.69307,0.75633,0.63699,0.70475,0.85386,1.09913,0.000421852,0.000421852,0.000421852
22,1082.66,0.74788,1.1859,1.14771,0.76177,0.6991,0.76637,0.6458,0.69971,0.82776,1.08594,0.000416645,0.000416645,0.000416645
